Team,Name,R,HR,RBI,SB,AVG,Total Z-Score
ATH,Jacob Wilson,0.37239835280989914,-0.4166148759085331,0.40087639108216316,-0.04748921204804501,2.150372491094546,2.45954314703003
BOS,Jarren Duran,0.37239835280989914,-0.9981028729212942,0.8100697197386453,1.8995684819217986,0.24436746129775896,2.328301142846808
ARI,Josh Naylor,0.0916014339095614,-0.4166148759085331,0.8100697197386453,0.9260396349368768,0.8713428000467012,2.2824387127232515
BAL,Cedric Mullins,-0.04879702554060749,1.0371051166233698,1.0828652721763,0.6826574231906464,-0.48292393165101555,2.2709068547986933
SEA,Julio Rodriguez,1.2147891095109125,0.7463611181169892,0.6736719435198179,0.19589299969818544,-0.6083189994008036,2.2223961714451015
SFG,Jung Hoo Lee,0.9339921906105747,-0.12587087740215247,1.0828652721763,-0.29087142379427544,0.5202366103472942,2.1203517719377407
SDP,Manny Machado,1.2147891095109125,-0.9981028729212942,-0.417510266230801,0.6826574231906464,1.473239125245687,1.9550725187951505
BOS,Wilyer Abreu,0.0916014339095614,1.3278491151297505,0.5372741673009905,-0.04748921204804501,0.04373535289809704,1.9529708571903546
NYY,Cody Bellinger,0.37239835280989914,0.4556171196106087,0.8100697197386453,-0.04748921204804501,0.21928844774780124,1.8098844278589092
LAD,Andy Pages,-0.04879702554060749,0.7463611181169892,0.5372741673009905,0.19589299969818544,0.34468351549758997,1.775414775073148
KCR,Maikel Garcia,-0.610390863341283,-0.4166148759085331,-0.1447147137931463,1.4128040584293378,1.4983181387956448,1.7394017441820202
NYM,Juan Soto,1.3551875689610813,0.4556171196106087,-0.28111249001197364,0.4392752114444159,-0.30737083680131133,1.6615965732028208
MIL,Jackson Chourio,0.23199989335973026,0.16487312110422808,0.40087639108216316,1.1694218466831072,-0.35752886390122685,1.6096423883280018
HOU,Jeremy Pena,0.0916014339095614,-0.12587087740215247,-0.008316937574318931,0.4392752114444159,1.0468958948964053,1.4435847252739111
COL,Hunter Goodman,0.0916014339095614,0.16487312110422808,1.0828652721763,-0.7776358472867364,0.8211847729467856,1.3828887528501386
STL,Lars Nootbaar,1.0743906500607436,0.16487312110422808,0.2644786148633358,-0.04748921204804501,-0.10673872840164941,1.349514445578613
DET,Kerry Carpenter,0.653195271710237,1.0371051166233698,-0.1447147137931463,-0.7776358472867364,0.5703946374472096,1.3383444647009335
HOU,Isaac Paredes,0.23199989335973026,1.0371051166233698,0.6736719435198179,-1.021018059032967,0.3697625290475477,1.2915214235174985
ATL,Austin Riley,-0.04879702554060749,0.4556171196106087,0.6736719435198179,-0.534253635540506,0.6957897051969969,1.24202810724631
CLE,Steven Kwan,0.512796812260068,-0.7073588744149136,-0.8267035948872831,0.6826574231906464,1.5484761658955601,1.2098679320440777
LAA,Logan O'Hoppe,-0.7507893227914518,1.9093371121425116,0.6736719435198179,-1.021018059032967,0.3697625290475477,1.1809642028854583
CHC,Nico Hoerner,0.9339921906105747,-1.870334868440436,-0.1447147137931463,1.4128040584293378,0.7961057593968279,1.1278524262031582
PHI,Bryson Stott,0.23199989335973026,-0.7073588744149136,0.12808083864450842,1.1694218466831072,0.24436746129775896,1.066511165570191
LAA,Taylor Ward,0.37239835280989914,1.9093371121425116,0.8100697197386453,-1.021018059032967,-1.0346622297500851,1.0361248959080043
