Name,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SFG,HBP,AVG,OBP,SLG,OPS
Trea Turner,PHI,SS,31,57,234,39,70,10,2,5,25,16,5,19,45,0,1,3,0.299,0.358,0.423,0.781
Trent Grisham,NYY,OF,28,51,166,29,42,3,1,13,26,0,1,23,42,0,0,1,0.253,0.347,0.518,0.865
Trevor Larnach,MIN,OF,28,57,214,30,55,8,1,8,28,2,2,19,52,0,1,2,0.257,0.322,0.416,0.738
Trevor Story,BOS,SS,32,57,221,23,49,4,0,7,26,9,0,11,73,1,0,3,0.222,0.268,0.335,0.603
Trey Lipscomb,WSN,3B,24,3,4,1,2,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1
Trey Sweeney,DET,SS,25,57,182,25,41,3,1,4,23,2,1,16,48,0,3,0,0.225,0.284,0.319,0.603
Triston Casas,BOS,1B,25,29,99,5,18,3,0,3,11,0,0,11,27,0,0,2,0.182,0.277,0.303,0.58
Tsung-Che Cheng,PIT,2B,23,3,7,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
Tucker Barnhart,TEX,C,34,8,13,0,3,0,0,0,0,0,0,1,4,0,0,1,0.231,0.333,0.231,0.564
Ty France,MIN,1B,30,56,203,21,53,8,0,4,30,1,0,10,34,0,1,10,0.261,0.326,0.36,0.686
Tyler Callihan,CIN,2B,24,4,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334
Tyler Fitzgerald,SFG,SS,27,38,126,15,34,7,1,2,7,8,3,10,35,2,0,1,0.27,0.328,0.389,0.717
Tyler Freeman,COL,OF,26,19,42,7,10,2,0,1,5,4,1,3,7,0,2,2,0.238,0.306,0.357,0.663
Tyler Heineman,TOR,C,33,19,48,10,19,4,0,1,6,2,0,2,10,0,1,0,0.396,0.412,0.542,0.954
Tyler O'Neill,BAL,OF,29,24,80,9,15,3,1,2,10,2,0,9,27,0,2,2,0.188,0.28,0.325,0.605
