Team,Name,W,ERA,WHIP,SO,SV,HLD,Total Z-Score
SDP,Nick Pivetta,1.1325568606808443,0.5882994835508342,1.0646080321083624,0.3774330889640219,,,3.162897465304063
MIL,Freddy Peralta,1.1325568606808443,0.8488468822411861,0.7093358851845727,0.4568926866406581,,,3.147632314747261
PIT,Paul Skenes,-0.21687259034314052,0.9935954370691593,1.3183738513396408,0.854190675023839,,,2.9492873730894984
ARI,Merrill Kelly,1.1325568606808443,0.2023033373429056,1.013854868262107,0.059594698257477145,,,2.408309764543334
NYM,Kodai Senga,0.4578421351688518,1.968235706244179,0.04954475518325005,-0.3377032901257038,,,2.1379193064705775
TOR,Chris Bassitt,0.4578421351688518,0.6172491945164287,-0.10271473635551699,0.7747310773472028,,,1.7471076706769662
STL,Sonny Gray,1.1325568606808443,-0.5310893404521587,0.35406373826078413,0.7747310773472028,,,1.7302623358366724
PHI,Cristopher Sanchez,0.4578421351688518,0.3567017958260768,0.10029791902950573,0.6158118819939304,,,1.5306537320183646
NYM,Clay Holmes,1.1325568606808443,0.3277520848604823,-0.20422106404802834,0.13905429593411334,,,1.3951421774274113
ARI,Brandon Pfaadt,2.481986311704829,-0.32844136369299665,-0.20422106404802834,-0.5760820831556124,,,1.3732418008081915
TOR,Kevin Gausman,0.4578421351688518,-0.5407392441073576,1.1153611959546181,0.2979734912873857,,,1.330437578303498
CIN,Nick Lodolo,0.4578421351688518,0.24090295196369807,0.7093358851845727,-0.17878409477243143,,,1.229296877544691
WSN,MacKenzie Gore,-0.8915873158551328,-0.19334271252022148,-0.5087400471255624,2.602301823909835,,,1.0086317484089187
CHC,Matthew Boyd,0.4578421351688518,0.4725006396884555,-0.15346790020177267,0.13905429593411334,,,0.915929170589648
STL,Matthew Liberatore,-0.21687259034314052,0.5304000616196448,0.8615953767233397,-0.3377032901257038,,,0.8374195578741404
HOU,Framber Valdez,-0.21687259034314052,-0.09684367596823922,0.35406373826078413,0.6158118819939304,,,0.6561593539433348
ARI,Corbin Burnes,-0.21687259034314052,0.7137482310684109,0.10029791902950573,-0.019864899419159046,,,0.577308660335617
ATL,Spencer Schwellenbach,-0.21687259034314052,-0.04859415769224829,0.7093358851845727,-0.17878409477243143,,,0.26508504237675246
BAL,Tomoyuki Sugano,0.4578421351688518,0.38565150679167165,0.9123485405695955,-1.5295972552752466,,,0.22624492725487233
KCR,Seth Lugo,-0.21687259034314052,0.4339010250676626,0.5570763936458057,-0.7350012785088847,,,0.03910354986144304
PIT,Andrew Heaney,-0.21687259034314052,0.5400499652748428,0.35406373826078413,-0.7350012785088847,,,-0.05776016531639827
ATL,Chris Sale,-0.8915873158551328,-0.14509319424423056,-0.7625058663568408,1.648786651790201,,,-0.15039972466600315
SEA,Luis Castillo,0.4578421351688518,0.26020275927409453,-0.3057273917405397,-0.5760820831556124,,,-0.1637645804532058
CHW,Shane Smith,-1.5663020413671251,1.070794666310745,0.45557006595329436,-0.17878409477243143,,,-0.21872140387551717
MIA,Max Meyer,-0.21687259034314052,-0.6565380879697363,-0.40723371943305103,0.9336502727004753,,,-0.3469941250454526
ATH,Jeffrey Springs,1.1325568606808443,-0.4249404002449789,-0.25497422789428403,-0.814460876185521,,,-0.3618186436439397
KCR,Michael Wacha,-0.21687259034314052,0.5882994835508342,-0.20422106404802834,-0.6555416808322486,,,-0.4883358516725833
ATH,JP Sears,0.4578421351688518,-0.5117895331417627,0.25255741056827274,-0.7350012785088847,,,-0.5363912659135228
LAA,Tyler Anderson,-0.8915873158551328,0.41460121775726616,0.5570763936458057,-0.6555416808322486,,,-0.5754513852843095
PIT,Bailey Falter,-0.21687259034314052,-0.029294350381851842,0.35406373826078413,-0.9733800715387934,,,-0.8654832740030016
